id,Ante__Gemini_3_Pro_Preview/reward,Ante__Gemini_3.1_Pro_Preview/reward,BashAgent__TermiGen_32B/reward,Capy__Claude_Opus_4.6/reward,ClaudeCode__GLM_4.7/reward,CodeBrain_1__GPT_5.3_Codex/reward,CodeBrain_1__Gemini_3_Pro_Preview/reward,Crux__Claude_Opus_4.6/reward,Deep_Agents__GPT_5.2_Codex/reward,Droid__Claude_Opus_4.6/reward,Droid__GPT_5.3_Codex/reward,Forge__GPT_5.4/reward,Forge__Gemini_3.1_Pro_Preview/reward,Forge__Opus_4.6/reward,Gemini_CLI__Gemini_3_Flash_Preview/reward,IndusAGICodingAgent__gpt_5.3_codex/reward,Judy__Claude_Opus_4.6/reward,Judy__Gemini_3.1_Pro_Preview/reward,Junie_CLI__Gemini_3_Flash_Preview_Gemini_3.1_Pro_Preview_Claude_Opus_4.6_GPT_5.3_Codex/reward,MAYA__Claude_4.5_sonnet/reward,MAYA__Claude_4.6_opus/reward,Mux__Claude_Opus_4.5/reward,Mux__Claude_Opus_4.6/reward,Mux__GPT_5.2/reward,Mux__GPT_5.3_Codex/reward,OB_1_GPT_5.3_Codex_Claude_Opus_4.5_Claude_Opus_4.6/reward,OB_1_GPT_5.4_GPT_5.3_Codex_Claude_Opus_4.5_Claude_Opus_4.6/reward,OpenCode__Claude_Opus_4.5/reward,OpenSage__GPT_5.3_Codex/reward,OpenSage__Gemini_3_Pro_Preview/reward,Simple_Codex__GPT_5.3_Codex/reward,Terminus_KIRA__Claude_Opus_4.6/reward,Terminus_KIRA__Gemini_3.1_Pro_Preview/reward,Terminus2__Claude_Opus_4.6/reward,Terminus2__DeepSeek_V3.2/reward,Terminus2__GLM_4.7/reward,Terminus2__GLM_5/reward,Terminus2__GPT_5.3_Codex/reward,Terminus2__Kimi_k2.5/reward,Terminus2__Minimax_m2.5/reward,cchuter__minimax_m2.5/reward,dakou__qwen3_coder_480b/reward,grok_cli__grok_4.20_0309_reasoning/reward,pilot_real__claude_opus_4_6/reward,terminus_2__AfterQuery_GPT_OSS_20B/reward,difficulty
sqlite-with-gcov,1.0,1.0,0.9,0.8,1.0,1.0,1.0,0.6,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,1.0,0.8,1.0,0.6,0.8,0.8,0.4,0.8,1.0,0.8,1.0,1.0,0.4,level0
tune-mjcf,0.8,0.8,0.0,1.0,0.2,0.6,1.0,0.5,0.8,0.4,0.8,1.0,1.0,1.0,0.4,0.8,0.4,0.8,0.8,0.0,1.0,1.0,0.8,1.0,0.6,1.0,1.0,1.0,0.6,1.0,0.6,0.6,0.8,0.2,0.2,0.4,0.6,0.8,0.6,0.0,0.0,0.0,0.8,1.0,0.0,level0
vulnerable-secret,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.2,level0
build-pov-ray,0.8,0.8,0.0,0.7777777777777778,1.0,0.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,1.0,0.75,0.8,1.0,1.0,0.8,0.0,1.0,1.0,0.0,level0
crack-7z-hash,0.4,0.4,0.0,1.0,1.0,1.0,0.6,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.6,0.8,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.4,0.8,1.0,0.4,0.8,0.0,0.0,1.0,0.5,1.0,0.0,level0
gcode-to-text,0.2,0.8,0.0,0.5555555555555556,0.0,0.0,0.0,0.2,0.2,0.8,0.4,0.6,1.0,1.0,0.0,0.75,0.4,1.0,0.6,1.0,1.0,0.0,0.6,0.0,0.0,1.0,0.6,0.0,0.6,0.2,0.6,0.6,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,level0
qemu-alpine-ssh,0.4,0.6,0.0,1.0,0.0,0.0,0.4,0.8,0.4,0.8,0.0,0.8,1.0,1.0,0.0,0.5,1.0,0.4,0.6,0.0,1.0,1.0,1.0,0.0,0.4,1.0,1.0,1.0,1.0,0.0,0.8,1.0,0.8,1.0,0.0,0.2,0.8,0.4,0.0,0.0,0.0,0.0,0.8,0.0,0.0,level0
rstan-to-pystan,0.6,0.8,0.0,1.0,0.2,0.8,0.8,0.75,0.6,1.0,1.0,0.8,0.2,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.8,0.0,1.0,0.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,1.0,0.6,1.0,0.0,0.0,1.0,0.4,0.75,1.0,0.6,0.4,0.0,1.0,0.0,level0
winning-avg-corewars,0.2,1.0,0.0,0.8,0.2,1.0,0.4,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.6,0.2,0.0,0.8,0.0,0.0,1.0,0.4,0.8,1.0,0.0,1.0,0.6,0.8,1.0,1.0,0.2,0.4,0.6,0.2,0.8,0.0,0.4,0.6,0.0,1.0,0.6,0.0,level0
write-compressor,0.8,1.0,0.0,0.4,0.0,1.0,0.6,0.25,0.2,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.6,1.0,1.0,0.0,0.2222222222222222,0.0,0.4,0.0,1.0,0.4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.5,1.0,0.0,level0
financial-document-processor,0.2,1.0,0.0,1.0,0.0,0.8,0.6,1.0,0.6,1.0,1.0,1.0,0.8,0.6,0.4,1.0,0.4,0.6,0.8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.6,1.0,0.0,0.4,0.8,1.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0,level0
video-processing,0.2,0.6,0.0,0.2,0.0,0.0,0.2,0.4,0.0,0.4,0.2,1.0,1.0,1.0,0.2,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,level0
db-wal-recovery,0.0,0.2,0.0,0.2222222222222222,0.0,0.2,0.0,1.0,0.6,0.0,0.4,1.0,1.0,1.0,0.0,0.2,1.0,1.0,0.2,1.0,0.0,1.0,0.0,1.0,0.6,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,level0
dna-insert,0.0,0.4,0.0,0.5555555555555556,0.0,0.2,0.2,0.2,0.2,0.4,0.4,0.0,0.4,0.4,0.0,0.0,0.6,0.4,0.4,0.0,0.8,0.0,0.2,0.0,0.8,0.8,1.0,0.0,0.8,0.0,1.0,0.4,0.6,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,level0
filter-js-from-html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,level0
gpt2-codegolf,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.2,0.6,0.8,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,level0
install-windows-3.11,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.8,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,level0
make-doom-for-mips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,level0
make-mips-interpreter,0.0,0.8,0.0,0.5555555555555556,0.0,0.8,0.2,0.6666666666666666,0.5,0.6,0.8,0.2,0.0,0.2,0.0,0.8,0.0,0.8,0.2,0.0,0.0,0.0,0.8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,level0
model-extraction-relu-logits,0.0,0.6,0.0,0.4444444444444444,0.0,0.8,0.0,0.2,0.6,0.0,0.4,0.2,0.0,0.0,0.0,0.25,0.2,0.4,0.2,0.0,0.2,0.0,0.4,0.0,0.8,0.2,1.0,0.0,0.6,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.8,0.2,0.2,0.0,0.6,0.6,0.0,1.0,0.0,level0
mteb-leaderboard,0.0,0.2,0.0,0.6666666666666666,0.0,0.8,0.0,0.4,0.5,0.2,0.6,0.8,0.0,0.8,0.4,0.0,0.2,0.0,0.2,1.0,0.4,0.0,0.6,1.0,1.0,0.4,1.0,0.0,0.4,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,level0
path-tracing-reverse,0.0,0.2,0.2,1.0,0.2,1.0,0.0,0.8,0.6,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.4,0.4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.4,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,level0
raman-fitting,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,level0
regex-chess,0.0,0.4,0.0,0.2,0.0,0.4,0.0,0.25,0.0,1.0,1.0,0.4,0.6,1.0,0.0,1.0,0.0,0.8,0.2,0.0,0.6,0.0,0.0,0.0,1.0,0.6,1.0,0.0,0.8,0.0,1.0,1.0,0.4,0.8,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,level0
sam-cell-seg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,level0
torch-pipeline-parallelism,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.4,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.4,0.0,0.8,0.0,0.2,0.6666666666666666,0.0,0.0,0.0,0.2,0.0,0.8,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,level0
torch-tensor-parallelism,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.8,0.4,1.0,1.0,1.0,0.2,0.0,0.4,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0.8,0.8,1.0,0.0,0.4,0.2,0.6,1.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.5,1.0,0.0,level0
train-fasttext,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.0,0.0,0.0,level0
